order_year,order_month,monthly_revenue,pre_mon_revenue,decline_amount
2022,4,6694.00,119999.00,-113305.00
2024,3,12000.00,122999.00,-110999.00
2022,2,29999.00,134999.00,-105000.00
2025,1,29999.00,134998.00,-104999.00
2022,7,1247.00,104998.00,-103751.00
2023,5,5000.00,87998.00,-82998.00
2024,10,3499.00,69999.00,-66500.00
2023,2,4295.00,69999.00,-65704.00
2025,6,59998.00,124999.00,-65001.00
2025,3,15500.00,73647.00,-58147.00
2024,8,32693.00,88998.00,-56305.00
2023,7,29297.00,84999.00,-55702.00
2025,8,7999.00,59996.00,-51997.00
2025,10,67998.00,111194.00,-43196.00
2026,2,57597.00,98000.00,-40403.00
2023,10,47598.00,86999.00,-39401.00
2023,8,6998.00,29297.00,-22299.00
2024,6,54999.00,72990.00,-17991.00
2022,12,74999.00,83896.00,-8897.00
2022,10,54999.00,62999.00,-8000.00
2026,1,98000.00,104998.00,-6998.00
2023,11,41594.00,47598.00,-6004.00
2023,1,69999.00,74999.00,-5000.00
2022,5,3500.00,6694.00,-3194.00
2026,5,84894.00,87998.00,-3104.00
2025,7,59996.00,59998.00,-2.00
