order_year,order_month,order_year_month,total_orders,unique_customers,revenue,prev_month_revenue,mom_change,mom_growth_pct,same_month_last_year,yoy_change,yoy_growth_pct,mom_trend,moving_avg_3month,running_total
2022,1,2022-01,2,2,134999.00,NULL,NULL,NULL,NULL,NULL,NULL,"First Month",134999.00,134999.00
2022,2,2022-02,1,1,29999.00,134999.00,-105000.00,-77.78,NULL,NULL,NULL,Decline,82499.00,164998.00
2022,3,2022-03,2,2,119999.00,29999.00,90000.00,300.01,NULL,NULL,NULL,Growth,94999.00,284997.00
2022,4,2022-04,2,2,6694.00,119999.00,-113305.00,-94.42,NULL,NULL,NULL,Decline,52230.67,291691.00
2022,5,2022-05,1,1,3500.00,6694.00,-3194.00,-47.71,NULL,NULL,NULL,Decline,43397.67,295191.00
2022,6,2022-06,2,2,104998.00,3500.00,101498.00,2899.94,NULL,NULL,NULL,Growth,38397.33,400189.00
2022,7,2022-07,1,1,1247.00,104998.00,-103751.00,-98.81,NULL,NULL,NULL,Decline,36581.67,401436.00
2022,8,2022-08,2,2,57999.00,1247.00,56752.00,4551.08,NULL,NULL,NULL,Growth,54748.00,459435.00
2022,9,2022-09,2,2,62999.00,57999.00,5000.00,8.62,NULL,NULL,NULL,Growth,40748.33,522434.00
2022,10,2022-10,1,1,54999.00,62999.00,-8000.00,-12.70,NULL,NULL,NULL,Decline,58665.67,577433.00
2022,11,2022-11,2,2,83896.00,54999.00,28897.00,52.54,NULL,NULL,NULL,Growth,67298.00,661329.00
2022,12,2022-12,2,2,74999.00,83896.00,-8897.00,-10.60,NULL,NULL,NULL,Decline,71298.00,736328.00
2023,1,2023-01,2,2,69999.00,74999.00,-5000.00,-6.67,134999.00,-65000.00,-48.15,Decline,76298.00,806327.00
2023,2,2023-02,1,1,4295.00,69999.00,-65704.00,-93.86,29999.00,-25704.00,-85.68,Decline,49764.33,810622.00
2023,3,2023-03,2,2,29997.00,4295.00,25702.00,598.42,119999.00,-90002.00,-75.00,Growth,34763.67,840619.00
2023,4,2023-04,2,2,87998.00,29997.00,58001.00,193.36,6694.00,81304.00,1214.58,Growth,40763.33,928617.00
2023,5,2023-05,1,1,5000.00,87998.00,-82998.00,-94.32,3500.00,1500.00,42.86,Decline,40998.33,933617.00
2023,6,2023-06,2,2,84999.00,5000.00,79999.00,1599.98,104998.00,-19999.00,-19.05,Growth,59332.33,1018616.00
2023,7,2023-07,2,2,29297.00,84999.00,-55702.00,-65.53,1247.00,28050.00,2249.40,Decline,39765.33,1047913.00
2023,8,2023-08,1,1,6998.00,29297.00,-22299.00,-76.11,57999.00,-51001.00,-87.93,Decline,40431.33,1054911.00
2023,9,2023-09,2,2,86999.00,6998.00,80001.00,1143.20,62999.00,24000.00,38.10,Growth,41098.00,1141910.00
2023,10,2023-10,2,2,47598.00,86999.00,-39401.00,-45.29,54999.00,-7401.00,-13.46,Decline,47198.33,1189508.00
2023,11,2023-11,3,3,41594.00,47598.00,-6004.00,-12.61,83896.00,-42302.00,-50.42,Decline,58730.33,1231102.00
2023,12,2023-12,1,1,54999.00,41594.00,13405.00,32.23,74999.00,-20000.00,-26.67,Growth,48063.67,1286101.00
2024,1,2024-01,2,2,84999.00,54999.00,30000.00,54.55,69999.00,15000.00,21.43,Growth,60530.67,1371100.00
2024,2,2024-02,2,2,122999.00,84999.00,38000.00,44.71,4295.00,118704.00,2763.77,Growth,87665.67,1494099.00
2024,3,2024-03,1,1,12000.00,122999.00,-110999.00,-90.24,29997.00,-17997.00,-60.00,Decline,73332.67,1506099.00
2024,4,2024-04,2,2,32998.00,12000.00,20998.00,174.98,87998.00,-55000.00,-62.50,Growth,55999.00,1539097.00
2024,5,2024-05,2,2,72990.00,32998.00,39992.00,121.20,5000.00,67990.00,1359.80,Growth,39329.33,1612087.00
2024,6,2024-06,1,1,54999.00,72990.00,-17991.00,-24.65,84999.00,-30000.00,-35.29,Decline,53662.33,1667086.00
2024,7,2024-07,2,2,88998.00,54999.00,33999.00,61.82,29297.00,59701.00,203.78,Growth,72329.00,1756084.00
2024,8,2024-08,2,2,32693.00,88998.00,-56305.00,-63.27,6998.00,25695.00,367.18,Decline,58896.67,1788777.00
2024,9,2024-09,2,2,69999.00,32693.00,37306.00,114.11,86999.00,-17000.00,-19.54,Growth,63896.67,1858776.00
2024,10,2024-10,1,1,3499.00,69999.00,-66500.00,-95.00,47598.00,-44099.00,-92.65,Decline,35397.00,1862275.00
2024,11,2024-11,3,3,57995.00,3499.00,54496.00,1557.47,41594.00,16401.00,39.43,Growth,43831.00,1920270.00
2024,12,2024-12,2,2,134998.00,57995.00,77003.00,132.78,54999.00,79999.00,145.46,Growth,65497.33,2055268.00
2025,1,2025-01,1,1,29999.00,134998.00,-104999.00,-77.78,84999.00,-55000.00,-64.71,Decline,74330.67,2085267.00
2025,2,2025-02,3,3,73647.00,29999.00,43648.00,145.50,122999.00,-49352.00,-40.12,Growth,79548.00,2158914.00
2025,3,2025-03,2,2,15500.00,73647.00,-58147.00,-78.95,12000.00,3500.00,29.17,Decline,39715.33,2174414.00
2025,4,2025-04,2,2,120000.00,15500.00,104500.00,674.19,32998.00,87002.00,263.66,Growth,69715.67,2294414.00
2025,5,2025-05,2,2,124999.00,120000.00,4999.00,4.17,72990.00,52009.00,71.25,Growth,86833.00,2419413.00
2025,6,2025-06,2,2,59998.00,124999.00,-65001.00,-52.00,54999.00,4999.00,9.09,Decline,101665.67,2479411.00
2025,7,2025-07,3,3,59996.00,59998.00,-2.00,0.00,88998.00,-29002.00,-32.59,Decline,81664.33,2539407.00
2025,8,2025-08,1,1,7999.00,59996.00,-51997.00,-86.67,32693.00,-24694.00,-75.53,Decline,42664.33,2547406.00
2025,9,2025-09,3,3,111194.00,7999.00,103195.00,1290.10,69999.00,41195.00,58.85,Growth,59729.67,2658600.00
2025,10,2025-10,2,2,67998.00,111194.00,-43196.00,-38.85,3499.00,64499.00,1843.36,Decline,62397.00,2726598.00
2025,11,2025-11,2,2,94999.00,67998.00,27001.00,39.71,57995.00,37004.00,63.81,Growth,91397.00,2821597.00
