cohort_month,cohort_size,m0,m1,m2,m3,m6,m9,m12,m16,m19,m24,m30
2022-01,2,100.0,NULL,NULL,50.0,NULL,50.0,NULL,NULL,NULL,NULL,50.0
2022-02,1,100.0,NULL,NULL,NULL,NULL,100.0,NULL,NULL,NULL,NULL,NULL
2022-03,2,100.0,NULL,NULL,NULL,NULL,100.0,NULL,50.0,NULL,50.0,NULL
2022-04,1,100.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022-05,1,100.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022-06,1,100.0,NULL,NULL,NULL,NULL,NULL,NULL,100.0,NULL,NULL,NULL
2022-07,1,100.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100.0
2022-08,1,100.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022-09,1,100.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022-11,1,100.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2023-01,1,100.0,NULL,NULL,NULL,NULL,NULL,NULL,100.0,NULL,NULL,NULL
2023-05,1,100.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2023-07,1,100.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2023-09,1,100.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2023-11,1,100.0,NULL,NULL,NULL,NULL,100.0,NULL,100.0,NULL,NULL,NULL
2023-12,1,100.0,NULL,NULL,NULL,NULL,100.0,NULL,NULL,100.0,NULL,NULL
2024-02,1,100.0,NULL,NULL,NULL,NULL,100.0,NULL,100.0,NULL,NULL,NULL
