cohort_month,month_number_of_order,cohort_size,active_customers,retention_pct
2022-01,0,2,2,100.0
2022-01,3,2,1,50.0
2022-01,5,2,1,50.0
2022-01,8,2,1,50.0
2022-01,9,2,1,50.0
2022-01,13,2,1,50.0
2022-01,14,2,1,50.0
2022-01,17,2,1,50.0
2022-01,20,2,1,50.0
2022-01,22,2,1,50.0
2022-01,25,2,1,50.0
2022-01,27,2,1,50.0
2022-01,30,2,1,50.0
2022-01,32,2,1,50.0
2022-01,35,2,1,50.0
2022-01,37,2,1,50.0
2022-01,40,2,1,50.0
2022-01,42,2,1,50.0
2022-01,45,2,1,50.0
2022-01,47,2,1,50.0
2022-01,49,2,1,50.0
2022-01,51,2,1,50.0
2022-02,0,1,1,100.0
2022-02,9,1,1,100.0
2022-02,14,1,1,100.0
2022-02,23,1,1,100.0
2022-02,28,1,1,100.0
2022-02,33,1,1,100.0
2022-02,37,1,1,100.0
2022-02,47,1,1,100.0
2022-02,51,1,1,100.0
2022-03,0,2,2,100.0
2022-03,5,2,1,50.0
2022-03,9,2,2,100.0
2022-03,16,2,1,50.0
2022-03,20,2,1,50.0
2022-03,24,2,1,50.0
2022-03,25,2,1,50.0
2022-03,29,2,1,50.0
2022-03,32,2,1,50.0
2022-03,38,2,1,50.0
2022-03,40,2,1,50.0
2022-03,44,2,2,100.0
2022-03,48,2,1,50.0
2022-03,50,2,1,50.0
2022-04,0,1,1,100.0
2022-05,0,1,1,100.0
2022-05,11,1,1,100.0
2022-05,29,1,1,100.0
2022-05,37,1,1,100.0
2022-05,43,1,1,100.0
2022-06,0,1,1,100.0
2022-06,7,1,1,100.0
2022-06,16,1,1,100.0
2022-06,32,1,1,100.0
2022-06,39,1,1,100.0
2022-06,45,1,1,100.0
2022-07,0,1,1,100.0
2022-07,8,1,1,100.0
2022-07,18,1,1,100.0
2022-07,30,1,1,100.0
2022-07,38,1,1,100.0
2022-08,0,1,1,100.0
2022-08,10,1,1,100.0
2022-08,23,1,1,100.0
2022-08,32,1,1,100.0
2022-08,41,1,1,100.0
2022-09,0,1,1,100.0
2022-11,0,1,1,100.0
2022-11,11,1,1,100.0
2022-11,33,1,1,100.0
2022-11,42,1,1,100.0
2023-01,0,1,1,100.0
2023-01,7,1,1,100.0
2023-01,16,1,1,100.0
2023-01,27,1,1,100.0
2023-05,0,1,1,100.0
2023-05,21,1,1,100.0
2023-07,0,1,1,100.0
2023-07,17,1,1,100.0
2023-07,26,1,1,100.0
2023-09,0,1,1,100.0
2023-09,8,1,1,100.0
2023-09,29,1,1,100.0
2023-11,0,1,1,100.0
2023-11,9,1,1,100.0
2023-11,16,1,1,100.0
2023-11,23,1,1,100.0
2023-12,0,1,1,100.0
2023-12,9,1,1,100.0
2023-12,19,1,1,100.0
2023-12,27,1,1,100.0
2024-02,0,1,1,100.0
2024-02,9,1,1,100.0
2024-02,16,1,1,100.0
2024-02,26,1,1,100.0
