month,total_active,retained_customers,new_reactivated,retention_rate_pct,new_reactivated_pct
2022-01,2,0,2,0.0,100.0
2022-02,1,0,1,0.0,100.0
2022-03,2,0,2,0.0,100.0
2022-04,2,0,2,0.0,100.0
2022-05,1,0,1,0.0,100.0
2022-06,2,0,2,0.0,100.0
2022-07,1,0,1,0.0,100.0
2022-08,2,0,2,0.0,100.0
2022-09,2,0,2,0.0,100.0
2022-10,1,0,1,0.0,100.0
2022-11,2,0,2,0.0,100.0
2022-12,2,0,2,0.0,100.0
2023-01,2,0,2,0.0,100.0
2023-02,1,0,1,0.0,100.0
2023-03,2,0,2,0.0,100.0
2023-04,2,0,2,0.0,100.0
2023-05,1,0,1,0.0,100.0
2023-06,2,0,2,0.0,100.0
2023-07,2,0,2,0.0,100.0
2023-08,1,0,1,0.0,100.0
2023-09,2,0,2,0.0,100.0
2023-10,2,0,2,0.0,100.0
2023-11,3,0,3,0.0,100.0
2023-12,1,0,1,0.0,100.0
2024-01,2,0,2,0.0,100.0
2024-02,2,0,2,0.0,100.0
2024-03,1,0,1,0.0,100.0
2024-04,2,0,2,0.0,100.0
2024-05,2,0,2,0.0,100.0
2024-06,1,0,1,0.0,100.0
2024-07,2,0,2,0.0,100.0
2024-08,2,0,2,0.0,100.0
2024-09,2,0,2,0.0,100.0
2024-10,1,0,1,0.0,100.0
2024-11,3,0,3,0.0,100.0
2024-12,2,0,2,0.0,100.0
2025-01,1,0,1,0.0,100.0
2025-02,3,0,3,0.0,100.0
2025-03,2,0,2,0.0,100.0
2025-04,2,0,2,0.0,100.0
2025-05,2,0,2,0.0,100.0
2025-06,2,0,2,0.0,100.0
2025-07,3,0,3,0.0,100.0
2025-08,1,0,1,0.0,100.0
2025-09,3,0,3,0.0,100.0
2025-10,2,0,2,0.0,100.0
2025-11,2,0,2,0.0,100.0
2025-12,2,0,2,0.0,100.0
2026-01,2,0,2,0.0,100.0
2026-02,2,0,2,0.0,100.0
2026-03,3,0,3,0.0,100.0
2026-04,2,0,2,0.0,100.0
2026-05,3,0,3,0.0,100.0
