order_year_month,total_orders,rolling_3month_orders
2022-01,2,2.00
2022-02,1,1.50
2022-03,2,1.67
2022-04,2,1.67
2022-05,1,1.67
2022-06,2,1.67
2022-07,1,1.33
2022-08,2,1.67
2022-09,2,1.67
2022-10,1,1.67
2022-11,2,1.67
2022-12,2,1.67
2023-01,2,2.00
2023-02,1,1.67
2023-03,2,1.67
2023-04,2,1.67
2023-05,1,1.67
2023-06,2,1.67
2023-07,2,1.67
2023-08,1,1.67
2023-09,2,1.67
2023-10,2,1.67
2023-11,3,2.33
2023-12,1,2.00
2024-01,2,2.00
2024-02,2,1.67
2024-03,1,1.67
2024-04,2,1.67
2024-05,2,1.67
2024-06,1,1.67
2024-07,2,1.67
2024-08,2,1.67
2024-09,2,2.00
2024-10,1,1.67
2024-11,3,2.00
2024-12,2,2.00
2025-01,1,2.00
2025-02,3,2.00
2025-03,2,2.00
2025-04,2,2.33
2025-05,2,2.00
2025-06,2,2.00
2025-07,3,2.33
2025-08,1,2.00
2025-09,3,2.33
2025-10,2,2.00
2025-11,2,2.33
2025-12,2,2.00
2026-01,2,2.00
2026-02,2,2.00
2026-03,3,2.33
2026-04,2,2.33
2026-05,3,2.67
