order_year_month,revenue,rolling_3month_avg
2022-01,134999.00,134999.00
2022-02,29999.00,82499.00
2022-03,119999.00,94999.00
2022-04,6694.00,52230.67
2022-05,3500.00,43397.67
2022-06,104998.00,38397.33
2022-07,1247.00,36581.67
2022-08,57999.00,54748.00
2022-09,62999.00,40748.33
2022-10,54999.00,58665.67
2022-11,83896.00,67298.00
2022-12,74999.00,71298.00
2023-01,69999.00,76298.00
2023-02,4295.00,49764.33
2023-03,29997.00,34763.67
2023-04,87998.00,40763.33
2023-05,5000.00,40998.33
2023-06,84999.00,59332.33
2023-07,29297.00,39765.33
2023-08,6998.00,40431.33
2023-09,86999.00,41098.00
2023-10,47598.00,47198.33
2023-11,41594.00,58730.33
2023-12,54999.00,48063.67
2024-01,84999.00,60530.67
2024-02,122999.00,87665.67
2024-03,12000.00,73332.67
2024-04,32998.00,55999.00
2024-05,72990.00,39329.33
2024-06,54999.00,53662.33
2024-07,88998.00,72329.00
2024-08,32693.00,58896.67
2024-09,69999.00,63896.67
2024-10,3499.00,35397.00
2024-11,57995.00,43831.00
2024-12,134998.00,65497.33
2025-01,29999.00,74330.67
2025-02,73647.00,79548.00
2025-03,15500.00,39715.33
2025-04,120000.00,69715.67
2025-05,124999.00,86833.00
2025-06,59998.00,101665.67
2025-07,59996.00,81664.33
2025-08,7999.00,42664.33
2025-09,111194.00,59729.67
2025-10,67998.00,62397.00
2025-11,94999.00,91397.00
2025-12,104998.00,89331.67
2026-01,98000.00,99332.33
2026-02,57597.00,86865.00
2026-03,81997.00,79198.00
2026-04,87998.00,75864.00
2026-05,84894.00,84963.00
